Park,Year,Month,Temp
Acadia National Park,2009,1,21.501818181818184
Acadia National Park,2009,2,28.77
Acadia National Park,2009,3,32.956
Acadia National Park,2009,4,45.278
Acadia National Park,2009,5,54.89727272727273
Acadia National Park,2009,6,59.15
Acadia National Park,2009,7,62.653999999999996
Acadia National Park,2009,8,68.203
Acadia National Park,2009,9,59.403
Acadia National Park,2009,10,48.867272727272734
Acadia National Park,2009,11,46.557
Acadia National Park,2009,12,31.282999999999998
Acadia National Park,2010,1,25.784
Acadia National Park,2010,2,30.441000000000003
Acadia National Park,2010,3,40.68
Acadia National Park,2010,4,49.766000000000005
Acadia National Park,2010,5,58.117
Acadia National Park,2010,6,63.311
Acadia National Park,2010,7,69.31090909090909
Acadia National Park,2010,8,69.67200000000001
Acadia National Park,2010,9,62.88099999999999
Acadia National Park,2010,10,54.116
Acadia National Park,2010,11,41.287
Acadia National Park,2010,12,30.59727272727273
Acadia National Park,2011,1,24.576
Acadia National Park,2011,2,28.72666666666667
Acadia National Park,2011,3,34.337272727272726
Acadia National Park,2011,4,46.31699999999999
Acadia National Park,2011,5,53.547000000000004
Acadia National Park,2011,6,58.629999999999995
Acadia National Park,2011,7,70.249
Acadia National Park,2011,8,66.33090909090909
Acadia National Park,2011,9,64.15299999999999
Acadia National Park,2011,10,52.176
Acadia National Park,2011,11,46.33200000000001
Acadia National Park,2011,12,32.21300000000001
Acadia National Park,2012,1,28.925454545454546
Acadia National Park,2012,2,31.540000000000003
Acadia National Park,2012,3,40.270909090909086
Acadia National Park,2012,4,47.21300000000001
Acadia National Park,2012,5,56.54600000000001
Acadia National Park,2012,6,62.241
Acadia National Park,2012,7,69.97200000000001
Acadia National Park,2012,8,69.68454545454546
Acadia National Park,2012,9,61.202999999999996
Acadia National Park,2012,10,56.362
Acadia National Park,2012,11,40.657
Acadia National Park,2012,12,35.415000000000006
Acadia National Park,2013,1,28.321818181818177
Acadia National Park,2013,2,29.33777777777778
Acadia National Park,2013,3,37.037
Acadia National Park,2013,4,44.999
Acadia National Park,2013,5,56.04636363636364
Acadia National Park,2013,6,62.867999999999995
Acadia National Park,2013,7,72.65899999999999
Acadia National Park,2013,8,66.59599999999999
Acadia National Park,2013,9,63.584
Acadia National Park,2013,10,55.34727272727273
Acadia National Park,2013,11,39.818999999999996
Acadia National Park,2013,12,27.703999999999997
Acadia National Park,2014,1,25.366999999999997
Acadia National Park,2014,2,26.463
Acadia National Park,2014,3,29.438
Acadia National Park,2014,4,44.208999999999996
Acadia National Park,2014,5,56.298
Acadia National Park,2014,6,64.345
Acadia National Park,2014,7,68.71818181818183
Acadia National Park,2014,8,68.158
Acadia National Park,2014,9,61.983000000000004
Acadia National Park,2014,10,54.411000000000016
Acadia National Park,2014,11,39.077
Acadia National Park,2014,12,36.007272727272735
Acadia National Park,2015,1,23.966999999999995
Acadia National Park,2015,2,14.846666666666668
Acadia National Park,2015,3,31.250909090909094
Acadia National Park,2015,4,44.64
Acadia National Park,2015,5,58.56499999999998
Acadia National Park,2015,6,58.854000000000006
Acadia National Park,2015,7,69.79100000000001
Acadia National Park,2015,8,71.1
Acadia National Park,2015,9,68.91
Acadia National Park,2015,10,49.902
Acadia National Park,2015,11,43.34599999999999
Acadia National Park,2015,12,37.876
Acadia National Park,2016,1,29.011818181818185
Acadia National Park,2016,2,28.35777777777778
Acadia National Park,2016,3,38.158181818181816
Acadia National Park,2016,4,45.93999999999999
Acadia National Park,2016,5,55.227
Acadia National Park,2016,6,62.449
Acadia National Park,2016,7,70.25800000000001
Acadia National Park,2016,8,70.4718181818182
Acadia National Park,2016,9,64.81099999999999
Acadia National Park,2016,10,53.165
Acadia National Park,2016,11,46.739999999999995
Acadia National Park,2016,12,32.785
Acadia National Park,2017,1,31.683636363636364
Acadia National Park,2017,2,30.424444444444443
Acadia National Park,2017,3,30.643
Acadia National Park,2017,4,45.041000000000004
Acadia National Park,2017,5,54.345454545454544
Acadia National Park,2017,6,63.654999999999994
Acadia National Park,2017,7,69.12
Acadia National Park,2017,8,70.27000000000001
Acadia National Park,2017,9,65.663
Acadia National Park,2017,10,59.03
Acadia National Park,2017,11,42.447
Acadia National Park,2017,12,26.076
Acadia National Park,2018,1,25.885
Acadia National Park,2018,2,34.297999999999995
Acadia National Park,2018,3,36.343
Acadia National Park,2018,4,42.263999999999996
Acadia National Park,2018,5,64.193
Acadia National Park,2018,6,64.87500000000001
Acadia National Park,2018,7,75.35000000000001
Acadia National Park,2018,8,74.69699999999999
Acadia National Park,2018,9,66.61000000000001
Acadia National Park,2018,10,49.745000000000005
Acadia National Park,2018,11,38.071000000000005
Acadia National Park,2018,12,31.49
Glacier National Park,2009,1,27.726363636363633
Glacier National Park,2009,2,32.843333333333334
Glacier National Park,2009,3,30.335000000000008
Glacier National Park,2009,4,43.98899999999999
Glacier National Park,2009,5,53.88272727272727
Glacier National Park,2009,6,61.939
Glacier National Park,2009,7,70.73300000000002
Glacier National Park,2009,8,68.99699999999999
Glacier National Park,2009,9,68.807
Glacier National Park,2009,10,35.694545454545455
Glacier National Park,2009,11,34.33399999999999
Glacier National Park,2009,12,16.901
Glacier National Park,2010,1,29.663999999999998
Glacier National Park,2010,2,34.761
Glacier National Park,2010,3,42.03999999999999
Glacier National Park,2010,4,45.555
Glacier National Park,2010,5,48.338
Glacier National Park,2010,6,58.96400000000001
Glacier National Park,2010,7,68.11090909090909
Glacier National Park,2010,8,67.75500000000001
Glacier National Park,2010,9,53.589
Glacier National Park,2010,10,49.998000000000005
Glacier National Park,2010,11,28.715999999999998
Glacier National Park,2010,12,26.175454545454546
Glacier National Park,2011,1,25.324999999999996
Glacier National Park,2011,2,20.97555555555556
Glacier National Park,2011,3,31.66
Glacier National Park,2011,4,39.238
Glacier National Park,2011,5,49.981
Glacier National Park,2011,6,56.914
Glacier National Park,2011,7,68.285
Glacier National Park,2011,8,73.8718181818182
Glacier National Park,2011,9,68.54799999999999
Glacier National Park,2011,10,46.444
Glacier National Park,2011,11,33.089999999999996
Glacier National Park,2011,12,28.403000000000002
Glacier National Park,2012,1,24.258181818181814
Glacier National Park,2012,2,29.549999999999997
Glacier National Park,2012,3,38.57818181818182
Glacier National Park,2012,4,45.713
Glacier National Park,2012,5,53.07899999999999
Glacier National Park,2012,6,56.992999999999995
Glacier National Park,2012,7,74.239
Glacier National Park,2012,8,76.85363636363637
Glacier National Park,2012,9,66.47
Glacier National Park,2012,10,42.30999999999999
Glacier National Park,2012,11,36.438
Glacier National Park,2012,12,26.194
Glacier National Park,2013,1,28.50454545454545
Glacier National Park,2013,2,30.77
Glacier National Park,2013,3,35.440999999999995
Glacier National Park,2013,4,42.501
Glacier National Park,2013,5,53.33
Glacier National Park,2013,6,63.632999999999996
Glacier National Park,2013,7,75.123
Glacier National Park,2013,8,71.54399999999998
Glacier National Park,2013,9,63.44199999999999
Glacier National Park,2013,10,43.20363636363636
Glacier National Park,2013,11,33.438
Glacier National Park,2013,12,22.108999999999998
Glacier National Park,2014,1,29.435999999999996
