Park,Year,Month,Temp,Lat,Lng,Visits
Acadia National Park,2009,1,21.501818181818184,44.3385559,-68.27333459999998,9366
Acadia National Park,2009,2,28.77,44.3385559,-68.27333459999998,9751
Acadia National Park,2009,3,32.956,44.3385559,-68.27333459999998,19258
Acadia National Park,2009,4,45.278,44.3385559,-68.27333459999998,59277
Acadia National Park,2009,5,54.89727272727273,44.3385559,-68.27333459999998,129885
Acadia National Park,2009,6,59.15,44.3385559,-68.27333459999998,244780
Acadia National Park,2009,7,62.653999999999996,44.3385559,-68.27333459999998,457622
Acadia National Park,2009,8,68.203,44.3385559,-68.27333459999998,586446
Acadia National Park,2009,9,59.403,44.3385559,-68.27333459999998,399789
Acadia National Park,2009,10,48.86727272727274,44.3385559,-68.27333459999998,258007
Acadia National Park,2009,11,46.557,44.3385559,-68.27333459999998,44042
Acadia National Park,2009,12,31.283,44.3385559,-68.27333459999998,9475
Acadia National Park,2010,1,25.784,44.3385559,-68.27333459999998,10510
Acadia National Park,2010,2,30.44100000000001,44.3385559,-68.27333459999998,13398
Acadia National Park,2010,3,40.68,44.3385559,-68.27333459999998,26080
Acadia National Park,2010,4,49.76600000000001,44.3385559,-68.27333459999998,57992
Acadia National Park,2010,5,58.117,44.3385559,-68.27333459999998,169898
Acadia National Park,2010,6,63.31100000000001,44.3385559,-68.27333459999998,286635
Acadia National Park,2010,7,69.31090909090909,44.3385559,-68.27333459999998,545382
Acadia National Park,2010,8,69.67200000000001,44.3385559,-68.27333459999998,627918
Acadia National Park,2010,9,62.88099999999999,44.3385559,-68.27333459999998,431001
Acadia National Park,2010,10,54.11600000000001,44.3385559,-68.27333459999998,289114
Acadia National Park,2010,11,41.287,44.3385559,-68.27333459999998,36736
Acadia National Park,2010,12,30.59727272727273,44.3385559,-68.27333459999998,9544
Acadia National Park,2011,1,24.576,44.3385559,-68.27333459999998,10428
Acadia National Park,2011,2,28.72666666666667,44.3385559,-68.27333459999998,9533
Acadia National Park,2011,3,34.33727272727273,44.3385559,-68.27333459999998,19510
Acadia National Park,2011,4,46.31699999999999,44.3385559,-68.27333459999998,58307
Acadia National Park,2011,5,53.547,44.3385559,-68.27333459999998,132720
Acadia National Park,2011,6,58.63,44.3385559,-68.27333459999998,297222
Acadia National Park,2011,7,70.249,44.3385559,-68.27333459999998,559892
Acadia National Park,2011,8,66.33090909090909,44.3385559,-68.27333459999998,583153
Acadia National Park,2011,9,64.15299999999999,44.3385559,-68.27333459999998,387868
Acadia National Park,2011,10,52.176,44.3385559,-68.27333459999998,270477
Acadia National Park,2011,11,46.33200000000001,44.3385559,-68.27333459999998,34192
Acadia National Park,2011,12,32.21300000000001,44.3385559,-68.27333459999998,11343
Acadia National Park,2012,1,28.925454545454546,44.3385559,-68.27333459999998,11930
Acadia National Park,2012,2,31.54000000000001,44.3385559,-68.27333459999998,12388
Acadia National Park,2012,3,40.27090909090909,44.3385559,-68.27333459999998,22684
Acadia National Park,2012,4,47.21300000000001,44.3385559,-68.27333459999998,59471
Acadia National Park,2012,5,56.54600000000001,44.3385559,-68.27333459999998,157406
Acadia National Park,2012,6,62.24100000000001,44.3385559,-68.27333459999998,309198
Acadia National Park,2012,7,69.97200000000001,44.3385559,-68.27333459999998,539234
Acadia National Park,2012,8,69.68454545454546,44.3385559,-68.27333459999998,574307
Acadia National Park,2012,9,61.203,44.3385559,-68.27333459999998,391810
Acadia National Park,2012,10,56.362,44.3385559,-68.27333459999998,302932
Acadia National Park,2012,11,40.657,44.3385559,-68.27333459999998,38385
Acadia National Park,2012,12,35.415000000000006,44.3385559,-68.27333459999998,11307
Acadia National Park,2013,1,28.321818181818177,44.3385559,-68.27333459999998,11249
Acadia National Park,2013,2,29.33777777777778,44.3385559,-68.27333459999998,9869
Acadia National Park,2013,3,37.037,44.3385559,-68.27333459999998,20631
Acadia National Park,2013,4,44.999,44.3385559,-68.27333459999998,47090
Acadia National Park,2013,5,56.04636363636364,44.3385559,-68.27333459999998,133653
Acadia National Park,2013,6,62.868,44.3385559,-68.27333459999998,315791
Acadia National Park,2013,7,72.65899999999998,44.3385559,-68.27333459999998,555308
Acadia National Park,2013,8,66.59599999999999,44.3385559,-68.27333459999998,617306
Acadia National Park,2013,9,63.584,44.3385559,-68.27333459999998,400400
Acadia National Park,2013,10,55.34727272727273,44.3385559,-68.27333459999998,94904
Acadia National Park,2013,11,39.819,44.3385559,-68.27333459999998,41181
Acadia National Park,2013,12,27.704,44.3385559,-68.27333459999998,7540
Acadia National Park,2014,1,25.366999999999997,44.3385559,-68.27333459999998,10459
Acadia National Park,2014,2,26.463,44.3385559,-68.27333459999998,10258
Acadia National Park,2014,3,29.438,44.3385559,-68.27333459999998,17502
Acadia National Park,2014,4,44.208999999999996,44.3385559,-68.27333459999998,57211
Acadia National Park,2014,5,56.298,44.3385559,-68.27333459999998,153013
Acadia National Park,2014,6,64.345,44.3385559,-68.27333459999998,338845
Acadia National Park,2014,7,68.71818181818183,44.3385559,-68.27333459999998,561073
Acadia National Park,2014,8,68.158,44.3385559,-68.27333459999998,638152
Acadia National Park,2014,9,61.983000000000004,44.3385559,-68.27333459999998,418173
Acadia National Park,2014,10,54.411000000000016,44.3385559,-68.27333459999998,313920
Acadia National Park,2014,11,39.077,44.3385559,-68.27333459999998,31013
Acadia National Park,2014,12,36.00727272727273,44.3385559,-68.27333459999998,13510
Acadia National Park,2015,1,23.966999999999995,44.3385559,-68.27333459999998,12578
Acadia National Park,2015,2,14.846666666666668,44.3385559,-68.27333459999998,10626
Acadia National Park,2015,3,31.25090909090909,44.3385559,-68.27333459999998,18062
Acadia National Park,2015,4,44.64,44.3385559,-68.27333459999998,63214
Acadia National Park,2015,5,58.56499999999998,44.3385559,-68.27333459999998,187205
Acadia National Park,2015,6,58.854000000000006,44.3385559,-68.27333459999998,359661
Acadia National Park,2015,7,69.79100000000001,44.3385559,-68.27333459999998,606597
Acadia National Park,2015,8,71.1,44.3385559,-68.27333459999998,666767
Acadia National Park,2015,9,68.91,44.3385559,-68.27333459999998,479320
Acadia National Park,2015,10,49.902,44.3385559,-68.27333459999998,344362
Acadia National Park,2015,11,43.34599999999999,44.3385559,-68.27333459999998,48912
Acadia National Park,2015,12,37.876,44.3385559,-68.27333459999998,13880
Acadia National Park,2016,1,29.011818181818185,44.3385559,-68.27333459999998,17204
Acadia National Park,2016,2,28.35777777777778,44.3385559,-68.27333459999998,16530
Acadia National Park,2016,3,38.15818181818181,44.3385559,-68.27333459999998,28121
Acadia National Park,2016,4,45.93999999999999,44.3385559,-68.27333459999998,94199
Acadia National Park,2016,5,55.227,44.3385559,-68.27333459999998,217147
Acadia National Park,2016,6,62.449,44.3385559,-68.27333459999998,445410
Acadia National Park,2016,7,70.25800000000001,44.3385559,-68.27333459999998,696854
Acadia National Park,2016,8,70.4718181818182,44.3385559,-68.27333459999998,735945
Acadia National Park,2016,9,64.81099999999999,44.3385559,-68.27333459999998,570434
Acadia National Park,2016,10,53.165,44.3385559,-68.27333459999998,412416
Acadia National Park,2016,11,46.74,44.3385559,-68.27333459999998,55022
Acadia National Park,2016,12,32.785,44.3385559,-68.27333459999998,14111
Acadia National Park,2017,1,31.683636363636364,44.3385559,-68.27333459999998,15520
Acadia National Park,2017,2,30.42444444444445,44.3385559,-68.27333459999998,14342
Acadia National Park,2017,3,30.643,44.3385559,-68.27333459999998,20936
Acadia National Park,2017,4,45.041000000000004,44.3385559,-68.27333459999998,85267
Acadia National Park,2017,5,54.34545454545454,44.3385559,-68.27333459999998,222978
Acadia National Park,2017,6,63.655,44.3385559,-68.27333459999998,476191
Acadia National Park,2017,7,69.12,44.3385559,-68.27333459999998,743529
Acadia National Park,2017,8,70.27000000000001,44.3385559,-68.27333459999998,762436
Acadia National Park,2017,9,65.663,44.3385559,-68.27333459999998,595388
Acadia National Park,2017,10,59.03,44.3385559,-68.27333459999998,507594
Acadia National Park,2017,11,42.447,44.3385559,-68.27333459999998,53006
Acadia National Park,2017,12,26.076,44.3385559,-68.27333459999998,12084
Acadia National Park,2018,1,25.885,44.3385559,-68.27333459999998,11974
Acadia National Park,2018,2,34.297999999999995,44.3385559,-68.27333459999998,12167
Acadia National Park,2018,3,36.343,44.3385559,-68.27333459999998,23756
Acadia National Park,2018,4,42.263999999999996,44.3385559,-68.27333459999998,72858
Acadia National Park,2018,5,64.193,44.3385559,-68.27333459999998,249050
Acadia National Park,2018,6,64.87500000000001,44.3385559,-68.27333459999998,499163
Acadia National Park,2018,7,75.35000000000002,44.3385559,-68.27333459999998,759165
Acadia National Park,2018,8,74.69699999999997,44.3385559,-68.27333459999998,767219
Acadia National Park,2018,9,66.61000000000001,44.3385559,-68.27333459999998,600397
Acadia National Park,2018,10,49.74500000000001,44.3385559,-68.27333459999998,488204
Acadia National Park,2018,11,38.07100000000001,44.3385559,-68.27333459999998,40930
Acadia National Park,2018,12,31.49,44.3385559,-68.27333459999998,12692
Glacier National Park,2009,1,27.72636363636364,48.7596128,-113.7870225,9800
Glacier National Park,2009,2,32.84333333333333,48.7596128,-113.7870225,11642
Glacier National Park,2009,3,30.335000000000008,48.7596128,-113.7870225,10647
Glacier National Park,2009,4,43.98899999999999,48.7596128,-113.7870225,21805
Glacier National Park,2009,5,53.88272727272727,48.7596128,-113.7870225,102993
Glacier National Park,2009,6,61.93899999999999,48.7596128,-113.7870225,327572
Glacier National Park,2009,7,70.73300000000002,48.7596128,-113.7870225,603681
Glacier National Park,2009,8,68.99699999999999,48.7596128,-113.7870225,541997
Glacier National Park,2009,9,68.807,48.7596128,-113.7870225,325257
Glacier National Park,2009,10,35.694545454545455,48.7596128,-113.7870225,49525
Glacier National Park,2009,11,34.33399999999999,48.7596128,-113.7870225,15801
Glacier National Park,2009,12,16.901,48.7596128,-113.7870225,10628
Glacier National Park,2010,1,29.664,48.7596128,-113.7870225,10005
Glacier National Park,2010,2,34.761,48.7596128,-113.7870225,10811
Glacier National Park,2010,3,42.03999999999999,48.7596128,-113.7870225,14646
