Acadia,44.35°N 68.21°W,X
Arches,38.68°N 109.57°W,X
Badlands,43.75°N 102.50°W,x
Big Bend,29.25°N 103.25°W,x
Biscayne,25.65°N 80.08°W,x
Black Canyon of the Gunnison,38.57°N 107.72°W,x
Bryce Canyon,37.57°N 112.18°W,x
Canyonlands,38.2°N 109.93°W,x
Capitol Reef,38.20°N 111.17°W,x
Carlsbad Caverns,32.17°N 104.44°W,x
Channel Islands,34.01°N 119.42°W,x
Congaree,33.78°N 80.78°W,x
Crater Lake,42.94°N 122.1°W,x
Cuyahoga Valley,41.24°N 81.55°W,x
Death Valley,36.24°N 116.82°W,x
Denali,63.33°N 150.50°W,x
Dry Tortugas,24.63°N 82.87°W,x
Everglades,25.32°N 80.93°W,x
Gates of the Arctic,67.78°N 153.30°W,x
Gateway Arch,38.63°N 90.19°W,x
Glacier,48.80°N 114.00°W,x
Glacier Bay,58.50°N 137.00°W,x
Grand Canyon,36.06°N 112.14°W,x
Grand Teton,43.73°N 110.80°W,x
Great Basin,38.98°N 114.30°W,x
Great Sand Dunes,37.73°N 105.51°W,x
Great Smoky Mountains,35.68°N 83.53°W,x
Guadalupe Mountains,31.92°N 104.87°W,x
Haleakala,20.72°N 156.17°W,x
Hawaii Volcanoes,19.38°N 155.20°W,x
Hot Springs,34.51°N 93.05°W,x
Isle Royale,48.10°N 88.55°W,x
Joshua Tree,33.79°N 115.90°W,x
Katmai,58.50°N 155.00°W,x
Kenai Fjords,59.92°N 149.65°W,x
Kings Canyon,36.80°N 118.55°W,x
Kobuk Valley,67.55°N 159.28°W,x
Lake Clark,60.97°N 153.42°W,x
Lassen Volcanic,40.49°N 121.51°W,x
Mammoth Cave,37.18°N 86.10°W,x
Mesa Verde,37.18°N 108.49°W,x
Mount Rainier,46.85°N 121.75°W,x
North Cascades,48.70°N 121.20°W,x
Olympic,47.97°N 123.50°W,x
Petrified Forest,35.07°N 109.78°W,x
Pinnacles,36.48°N 121.16°W,x
Redwood,41.30°N 124.00°W,x
Rocky Mountain,40.40°N 105.58°W,x
Saguaro,32.25°N 110.50°W,x
Sequoia,36.43°N 118.68°W,x
Shenandoah,38.53°N 78.35°W,x
Theodore Roosevelt,46.97°N 103.45°W,x
Virgin Islands,18.33°N 64.73°W,x
Voyageurs,48.50°N 92.88°W,x
Wind Cave,43.57°N 103.48°W,x
Wrangell–St. Elias,61.00°N 142.00°W,x
Yellowstone,44.60°N 110.50°W,x
Yosemite,37.83°N 119.50°W,x
Zion,37.30°N 113.05°W,x
