Park,Year,Month,Visits
Acadia National Park,2018,1,11974
Acadia National Park,2018,2,12167
Acadia National Park,2018,3,23756
Acadia National Park,2018,4,72858
Acadia National Park,2018,5,249050
Acadia National Park,2018,6,499163
Acadia National Park,2018,7,759165
Acadia National Park,2018,8,767219
Acadia National Park,2018,9,600397
Acadia National Park,2018,10,488204
Acadia National Park,2018,11,40930
Acadia National Park,2018,12,12692
Acadia National Park,2017,1,15520
Acadia National Park,2017,2,14342
Acadia National Park,2017,3,20936
Acadia National Park,2017,4,85267
Acadia National Park,2017,5,222978
Acadia National Park,2017,6,476191
Acadia National Park,2017,7,743529
Acadia National Park,2017,8,762436
Acadia National Park,2017,9,595388
Acadia National Park,2017,10,507594
Acadia National Park,2017,11,53006
Acadia National Park,2017,12,12084
Acadia National Park,2016,1,17204
Acadia National Park,2016,2,16530
Acadia National Park,2016,3,28121
Acadia National Park,2016,4,94199
Acadia National Park,2016,5,217147
Acadia National Park,2016,6,445410
Acadia National Park,2016,7,696854
Acadia National Park,2016,8,735945
Acadia National Park,2016,9,570434
Acadia National Park,2016,10,412416
Acadia National Park,2016,11,55022
Acadia National Park,2016,12,14111
Acadia National Park,2015,1,12578
Acadia National Park,2015,2,10626
Acadia National Park,2015,3,18062
Acadia National Park,2015,4,63214
Acadia National Park,2015,5,187205
Acadia National Park,2015,6,359661
Acadia National Park,2015,7,606597
Acadia National Park,2015,8,666767
Acadia National Park,2015,9,479320
Acadia National Park,2015,10,344362
Acadia National Park,2015,11,48912
Acadia National Park,2015,12,13880
Acadia National Park,2014,1,10459
Acadia National Park,2014,2,10258
Acadia National Park,2014,3,17502
Acadia National Park,2014,4,57211
Acadia National Park,2014,5,153013
Acadia National Park,2014,6,338845
Acadia National Park,2014,7,561073
Acadia National Park,2014,8,638152
Acadia National Park,2014,9,418173
Acadia National Park,2014,10,313920
Acadia National Park,2014,11,31013
Acadia National Park,2014,12,13510
Acadia National Park,2013,1,11249
Acadia National Park,2013,2,9869
Acadia National Park,2013,3,20631
Acadia National Park,2013,4,47090
Acadia National Park,2013,5,133653
Acadia National Park,2013,6,315791
Acadia National Park,2013,7,555308
Acadia National Park,2013,8,617306
Acadia National Park,2013,9,400400
Acadia National Park,2013,10,94904
Acadia National Park,2013,11,41181
