Park,Date,Year,Month,Temp
Great Smoky Mountains National Park,2009-01-01,2009,1,39.3
Great Smoky Mountains National Park,2009-01-04,2009,1,57.32
Great Smoky Mountains National Park,2009-01-07,2009,1,43.46
Great Smoky Mountains National Park,2009-01-10,2009,1,38.71
Great Smoky Mountains National Park,2009-01-13,2009,1,38.0
Great Smoky Mountains National Park,2009-01-16,2009,1,16.99
Great Smoky Mountains National Park,2009-01-19,2009,1,26.72
Great Smoky Mountains National Park,2009-01-22,2009,1,41.47
Great Smoky Mountains National Park,2009-01-25,2009,1,42.84
Great Smoky Mountains National Park,2009-01-28,2009,1,46.53
Great Smoky Mountains National Park,2009-01-31,2009,1,37.03
Great Smoky Mountains National Park,2009-02-03,2009,2,24.95
Great Smoky Mountains National Park,2009-02-06,2009,2,48.65
Great Smoky Mountains National Park,2009-02-09,2009,2,60.13
Great Smoky Mountains National Park,2009-02-12,2009,2,50.36
Great Smoky Mountains National Park,2009-02-15,2009,2,46.89
Great Smoky Mountains National Park,2009-02-18,2009,2,48.07
Great Smoky Mountains National Park,2009-02-21,2009,2,44.62
Great Smoky Mountains National Park,2009-02-24,2009,2,45.69
Great Smoky Mountains National Park,2009-02-27,2009,2,44.43
Great Smoky Mountains National Park,2009-03-02,2009,3,26.28
Great Smoky Mountains National Park,2009-03-05,2009,3,54.49
Great Smoky Mountains National Park,2009-03-08,2009,3,64.4
Great Smoky Mountains National Park,2009-03-11,2009,3,60.16
Great Smoky Mountains National Park,2009-03-14,2009,3,42.42
Great Smoky Mountains National Park,2009-03-17,2009,3,61.08
Great Smoky Mountains National Park,2009-03-20,2009,3,49.67
Great Smoky Mountains National Park,2009-03-23,2009,3,58.12
Great Smoky Mountains National Park,2009-03-26,2009,3,47.87
Great Smoky Mountains National Park,2009-03-29,2009,3,38.93
Great Smoky Mountains National Park,2009-04-01,2009,4,61.49
Great Smoky Mountains National Park,2009-04-04,2009,4,64.54
Great Smoky Mountains National Park,2009-04-07,2009,4,28.42
Great Smoky Mountains National Park,2009-04-10,2009,4,54.68
Great Smoky Mountains National Park,2009-04-13,2009,4,43.11
Great Smoky Mountains National Park,2009-04-16,2009,4,61.08
Great Smoky Mountains National Park,2009-04-19,2009,4,49.33
Great Smoky Mountains National Park,2009-04-22,2009,4,54.69
Great Smoky Mountains National Park,2009-04-25,2009,4,77.91
Great Smoky Mountains National Park,2009-04-28,2009,4,71.36
Great Smoky Mountains National Park,2009-05-01,2009,5,65.35
Great Smoky Mountains National Park,2009-05-04,2009,5,59.55
Great Smoky Mountains National Park,2009-05-07,2009,5,67.99
Great Smoky Mountains National Park,2009-05-10,2009,5,69.1
Great Smoky Mountains National Park,2009-05-13,2009,5,63.83
Great Smoky Mountains National Park,2009-05-16,2009,5,69.88
Great Smoky Mountains National Park,2009-05-19,2009,5,63.92
Great Smoky Mountains National Park,2009-05-22,2009,5,68.2
Great Smoky Mountains National Park,2009-05-25,2009,5,67.8
Great Smoky Mountains National Park,2009-05-28,2009,5,68.21
Great Smoky Mountains National Park,2009-05-31,2009,5,72.95
Great Smoky Mountains National Park,2009-06-03,2009,6,74.19
Great Smoky Mountains National Park,2009-06-06,2009,6,71.97
Great Smoky Mountains National Park,2009-06-09,2009,6,77.03
Great Smoky Mountains National Park,2009-06-12,2009,6,70.52
Great Smoky Mountains National Park,2009-06-15,2009,6,73.24
Great Smoky Mountains National Park,2009-06-18,2009,6,74.72
Great Smoky Mountains National Park,2009-06-21,2009,6,72.5
Great Smoky Mountains National Park,2009-06-24,2009,6,76.97
Great Smoky Mountains National Park,2009-06-27,2009,6,80.28
Great Smoky Mountains National Park,2009-06-30,2009,6,73.72
Great Smoky Mountains National Park,2009-07-03,2009,7,69.38
Great Smoky Mountains National Park,2009-07-06,2009,7,73.67
Great Smoky Mountains National Park,2009-07-09,2009,7,69.11
Great Smoky Mountains National Park,2009-07-12,2009,7,74.41
Great Smoky Mountains National Park,2009-07-15,2009,7,74.27
Great Smoky Mountains National Park,2009-07-18,2009,7,65.0
Great Smoky Mountains National Park,2009-07-21,2009,7,70.71
Great Smoky Mountains National Park,2009-07-24,2009,7,72.8
Great Smoky Mountains National Park,2009-07-27,2009,7,72.8
Great Smoky Mountains National Park,2009-07-30,2009,7,66.97
Great Smoky Mountains National Park,2009-08-02,2009,8,71.36
Great Smoky Mountains National Park,2009-08-05,2009,8,72.85
Great Smoky Mountains National Park,2009-08-08,2009,8,77.71
Great Smoky Mountains National Park,2009-08-11,2009,8,74.84
Great Smoky Mountains National Park,2009-08-14,2009,8,74.25
Great Smoky Mountains National Park,2009-08-17,2009,8,74.57
Great Smoky Mountains National Park,2009-08-20,2009,8,72.72
Great Smoky Mountains National Park,2009-08-23,2009,8,65.82
Great Smoky Mountains National Park,2009-08-26,2009,8,75.26
Great Smoky Mountains National Park,2009-08-29,2009,8,70.81
Great Smoky Mountains National Park,2009-09-01,2009,9,63.91
Great Smoky Mountains National Park,2009-09-04,2009,9,70.37
Great Smoky Mountains National Park,2009-09-07,2009,9,70.26
Great Smoky Mountains National Park,2009-09-10,2009,9,66.17
Great Smoky Mountains National Park,2009-09-13,2009,9,72.37
Great Smoky Mountains National Park,2009-09-16,2009,9,61.8
Great Smoky Mountains National Park,2009-09-19,2009,9,67.21
Great Smoky Mountains National Park,2009-09-22,2009,9,69.61
Great Smoky Mountains National Park,2009-09-25,2009,9,72.0
Great Smoky Mountains National Park,2009-09-28,2009,9,67.06
Great Smoky Mountains National Park,2009-10-01,2009,10,62.97
Great Smoky Mountains National Park,2009-10-04,2009,10,54.28
Great Smoky Mountains National Park,2009-10-07,2009,10,63.73
Great Smoky Mountains National Park,2009-10-10,2009,10,56.12
Great Smoky Mountains National Park,2009-10-13,2009,10,64.0
Great Smoky Mountains National Park,2009-10-16,2009,10,47.11
Great Smoky Mountains National Park,2009-10-19,2009,10,52.73
Great Smoky Mountains National Park,2009-10-22,2009,10,64.23
Great Smoky Mountains National Park,2009-10-25,2009,10,58.05
Great Smoky Mountains National Park,2009-10-28,2009,10,63.73
Great Smoky Mountains National Park,2009-10-31,2009,10,54.93
Great Smoky Mountains National Park,2009-11-03,2009,11,56.49
Great Smoky Mountains National Park,2009-11-06,2009,11,56.54
Great Smoky Mountains National Park,2009-11-09,2009,11,53.52
Great Smoky Mountains National Park,2009-11-12,2009,11,52.68
Great Smoky Mountains National Park,2009-11-15,2009,11,64.71
Great Smoky Mountains National Park,2009-11-18,2009,11,45.59
Great Smoky Mountains National Park,2009-11-21,2009,11,53.0
Great Smoky Mountains National Park,2009-11-24,2009,11,48.2
Great Smoky Mountains National Park,2009-11-27,2009,11,42.92
Great Smoky Mountains National Park,2009-11-30,2009,11,43.36
Great Smoky Mountains National Park,2009-12-03,2009,12,35.56
Great Smoky Mountains National Park,2009-12-06,2009,12,31.05
Great Smoky Mountains National Park,2009-12-09,2009,12,51.25
Great Smoky Mountains National Park,2009-12-12,2009,12,30.61
Great Smoky Mountains National Park,2009-12-15,2009,12,46.57
Great Smoky Mountains National Park,2009-12-18,2009,12,26.55
Great Smoky Mountains National Park,2009-12-21,2009,12,35.19
Great Smoky Mountains National Park,2009-12-24,2009,12,46.16
Great Smoky Mountains National Park,2009-12-27,2009,12,39.37
Great Smoky Mountains National Park,2009-12-30,2009,12,35.68
Great Smoky Mountains National Park,2010-01-02,2010,1,14.67
Great Smoky Mountains National Park,2010-01-05,2010,1,20.29
Great Smoky Mountains National Park,2010-01-08,2010,1,10.18
Great Smoky Mountains National Park,2010-01-11,2010,1,28.55
Great Smoky Mountains National Park,2010-01-14,2010,1,45.73
Great Smoky Mountains National Park,2010-01-17,2010,1,41.82
Great Smoky Mountains National Park,2010-01-20,2010,1,44.85
Great Smoky Mountains National Park,2010-01-23,2010,1,43.28
Great Smoky Mountains National Park,2010-01-26,2010,1,24.61
Great Smoky Mountains National Park,2010-01-29,2010,1,30.52
Great Smoky Mountains National Park,2010-02-01,2010,2,36.4
